miRNA,Targetted_mRNA
hsa-miR-6762-3p,MACROD2
hsa-miR-6762-3p,PTPRT
hsa-miR-6762-3p,GRIN3A
hsa-miR-6762-3p,TMEM132D
hsa-miR-6762-3p,ATXN7L1
hsa-miR-6762-3p,LRATD1
hsa-miR-6762-3p,LINGO2
hsa-miR-6762-3p,AMER3
hsa-miR-6762-3p,TMEM130
hsa-miR-6762-3p,EID2
hsa-miR-6762-3p,CAMK1D
hsa-miR-6762-3p,CAMK2A
hsa-miR-6762-3p,FAM171A2
hsa-miR-6762-3p,DGKZ
hsa-miR-6762-3p,SEZ6L2
hsa-miR-6762-3p,KIAA0753
hsa-miR-6762-3p,KALRN
hsa-miR-6762-3p,KCNJ12
hsa-miR-6762-3p,KLK5
hsa-miR-6762-3p,RIMBP2
hsa-miR-6762-3p,CLSPN
hsa-miR-6762-3p,ERC2
hsa-miR-6762-3p,PDZD7
hsa-miR-6762-3p,NPAS4
hsa-miR-6762-3p,NAV3
hsa-miR-6762-3p,SV2B
hsa-miR-6762-3p,RUNDC3A
hsa-miR-6762-3p,ZNF780B
hsa-miR-6762-3p,SRGAP3
hsa-miR-6762-3p,CEP170B
hsa-miR-6762-3p,N4BP3
hsa-miR-6762-3p,RHOBTB2
hsa-miR-6762-3p,CUX2
hsa-miR-6762-3p,DPY19L1
hsa-miR-6762-3p,ADD2
hsa-miR-6762-3p,EPN3
hsa-miR-6762-3p,STYK1
hsa-miR-6762-3p,SMPD3
hsa-miR-6762-3p,PPP1R37
hsa-miR-6762-3p,GPR162
hsa-miR-6762-3p,DLG3
hsa-miR-6762-3p,PACSIN1
hsa-miR-6762-3p,KCNK12
hsa-miR-6762-3p,CLSTN2
hsa-miR-6762-3p,C1orf115
hsa-miR-6762-3p,CHGB
hsa-miR-6762-3p,CRHBP
hsa-miR-6762-3p,FGF9
hsa-miR-6762-3p,HPCA
hsa-miR-6762-3p,KCNH1
hsa-miR-6762-3p,KRT83
hsa-miR-6762-3p,LCT
hsa-miR-6762-3p,POU3F1
hsa-miR-6762-3p,SDC1
hsa-miR-6762-3p,TEF
hsa-miR-6762-3p,TGM3
hsa-miR-6762-3p,YWHAH
hsa-miR-6762-3p,BSN
hsa-miR-6762-3p,GAS7
hsa-miR-6762-3p,EMX1
hsa-miR-6762-3p,EXTL1
hsa-miR-6762-3p,ICA1
hsa-miR-6762-3p,GRK3
hsa-miR-6762-3p,HCCS
hsa-miR-6762-3p,NEFM
hsa-miR-6762-3p,CGREF1
hsa-miR-6762-3p,RNF112
hsa-miR-6762-3p,MYT1L
hsa-miR-6762-3p,CNKSR2
hsa-miR-6762-3p,SPTB
hsa-miR-6762-3p,CCKBR
hsa-miR-6762-3p,TMEM132B
hsa-miR-6762-3p,CHRM2
hsa-miR-6762-3p,FBXL19
hsa-miR-6762-3p,EFNB3
hsa-miR-6762-3p,KCNA1
hsa-miR-6762-3p,ERICH3
hsa-miR-6762-3p,GPR179
hsa-miR-6762-3p,SPRN
hsa-miR-6762-3p,CYB561
hsa-miR-6762-3p,PABPC1L2B
hsa-miR-6762-3p,SH2D5
hsa-miR-6762-3p,TMEM240
hsa-miR-6762-3p,PAK3
hsa-miR-6762-3p,RELL2
hsa-miR-6762-3p,GAP43
hsa-miR-6762-3p,BHLHA9
hsa-miR-6762-3p,PRKAR1B
hsa-miR-6762-3p,PCSK1
hsa-miR-6762-3p,ANXA6
hsa-miR-6866-3p,STAC2
hsa-miR-7155-3p,TMEM151B
